(h)ari-	harusp		haruspex
-um	ta	-1	armamenta
-umus	imus		septimus
-uorsum	uersus		quoquouersus
-us	um		costum, deorsum, dextrorsum, Misenum, aeuum
-us	lu	-1	gelu
-us	is		bisulcis, cannabis, elumbis, eneruis, exanimis, glanis, inermis, infrenis, interpolis, procliuis, sublimis, torris, forctis
-us	ur		camur
-us	os		cissanthemos, Otos, acrolithos, Arctos, Atheos
-us	nu	-1	genu
-us	us		Numicius, Oedipus, pinus
-us	uo		pauo
-uza	ssa	+1	obrussa
-yr	ur		Astur
-ys	us		Phorcus
-ā	a	-2	Argia
-āna	ena		Athena
-ātis	enas	-2	Capenas
-ē	a		Clytia, Dodona, Eriphyla, Europa, exagoga, geometrica, grammatica, Helena, Hersilia, Hesiona, Hippolyta, Ida, Iliona, Laconica, Leda, Leucata, Libya, mathematica, Melita, musica, parabola, Pella, phoca, Phthia, pinacotheca, poetica, Polyxena, Prochyta, Samothraca, Sparta, stacta, stela, symbola, Urania, Aeaea, Aetna, amygdala, Ariadna, arithmetica, Atalanta, Hippodamia, pyrricha, schola, Hypermestra
-ēa	ia		Seleucia, Antiochia
-ēbēs	lebs	+1	plebs
-ēn	io		Anio
-ēos	eus		Alpheus
-ēs	ae		druidae
-ēs	ia	-1	duritia, maceria, materia, militia, mollitia, munditia, notitia, pigritia, segnitia, spurcitia, tristitia
-ēs	ni	0	Edoni
-ēs	la	-1	hydraula
-ēs	ta	-1	Nabata
-ēs	as	-1	Pantagias
-ēs	ci	-1	Triboci
-ēs	is		Aeolis
-ēs	es		Apelles
-ēs	ea		Tegea
-ēs	us		Uologesus
-ēum	ium		glaucium
-ēus	eus	+1	Cydonaeus
-ēus	ius		Antiochius
-īa	ea		Achillea
-īn	is		Salamis
-īos	eus		Peneus
-īum	eum		alcyoneum, Amaltheum
-īus	eus		Carneadeus, Democriteus, Diomedeus, Homereus, Lyrceus, spondeus
-īī	ei	-1	Aristarchei
-ō	r	-2	cohortor, conuiuor, cunctor, depeculor, depopulor, euagor, exhortor, frustror, imaginor, insector, insidior, luctor, ludificor, minitor, miseror, moderor, morigeror, moror, mutuor, opitulor, osculor, peruagor, populor, praestolor, proelior, recordor, refragor, reluctor, remuneror, sciscitor, sermonor, suffragor, suspicor, tumultuor, uelitor, ueneror, uociferor, urinor, auspicor, auxilior, sauior, percontor
-ō	s	-2	Dercetis, silus
-ō	o		suboleo
-ōn	os		Androgeos
-ūs	iu	-1	diu
Acch-	Ache	--1	Acheruns, Acherunticus, Acherusius
Adr-	Had	--1	Hadria, Hadrianus, Hadriaticus
Aefl-	Aefu	+1	Aefulanus
Agr-	Acr		Acragantinus, Acragas
Agragant-	Agrigent		Agrigentini
Aim-	Aem		Aemilianus, Aemilius
Amunc-	Amync		Amynclanus
Amycl-	Amync	+1	Amynclae
App-	Ape	--1	Apenninicola, Apenninigena, Apenninus, Apenninus
App-	Apu	--1	Apulia, Apulus
Ario-	Areo		Areopagites
Athl-	Atla	--1	Atlanticus
Att-	Acc		Accius
Auel-	Abel		Abellanus
Bale-	Bali		Baliaricus, Baliaris
Bebr-	Bedr		Bedriacus
Beron-	Beren		Berenice
Betr-	Bedr		Bedriacensis, Bedriacum
Bub-	Byb		Byblos
Caele-	Caeli		Caelimontanus
Caer-	Cere	--1	Cerealicius, Cerealis
Calid-	Calyd		Calydonius
Camal-	Camul		Camulodunum
Caphar-	Capher		Caphereus, Caphereus
Capra-	Capro		Caprotina
Cass-	Casi	--1	Casinas
Ceri-	Cere		Cerealis
Ceu-	Ceb		Cebenna
Chalc-	Calch	+1	Calchedonensis
Cibu-	Ciby		Cibyrates
Clu-	Clo		Cloacina
Cocul-	Cocle	--1	Cocles
Compet-	Compit		Compitalis
Conl-	Coll		Collatia
Conp-	Comp		Compitalia, Compitalicius, Compitalis
Conseu-	Consiu		Consiuius
Culm-	Colm		Colminius
Cup-	Cyp		Cyprigenia
Curr-	Curi	--1	Curitis
Cygn-	Cycn		Cycneis
Cyp-	Cip		Ciprius
Delm-	Dalm		Dalmatia, Dalmaticus
Diuit-	Diuic		Diuiciacus
Duel-	Duil		Duillius
Duell-	Bello	--1	Bellona
Durra-	Dyrrh		Dyrrhachinus, Dyrrhachium
Ericth-	Ericht	+1	Erichthonius, Erichthonius
Euhad-	Euadn	--1	Euadne
Fac-	Fag		Fagutalis
Fac-	Pha	+1	Phacelinus
Far-	Pha	+1	Phariacus
Ferent-	Frenta	--1	Frentani
Ficol-	Ficul		Ficulensis
Fil-	Phi	+1	Philippus
Fin-	Phi	+1	Phineius
For-	Fur		Furrina
Furn-	Forn		Fornacalia
Gall-	Call		Callaecia, Callaecus
Genu-	Ceno		Cenomani
Germ-	Cerm		Cermalensis, Cermalus
Get-	Gae		Gaetulus
Gn-	Cn		Cnidos
Haed-	Aedu	--1	Aedui
Hale-	Hala		Halaesus
Hil(l)ur-	Illyricu	--1	Illyricus
Hil-	Ill	--1	Illyricum
Hord-	Ford		Fordicidia
Iapu-	Iapy		Iapydes, Iapydia
Iazu-	Iazy		Iazyges
Idy-	Idu		Idumaeus, Idume
Ipp-	Hip	+1	Hippolytus
Irp-	Hir	+1	Hirpinus
Ityr-	Itur		Ituraei, Ituraeus
Kar-	Car		Carthaginiensis, Carthago
Lacet-	Laeet		Laeetania, Laeetanus
Lalet-	Laeet		Laeetania, Laeetanus
Lat-	Let		Letois, Letoius, Letous
Lau-	Lab	--1	Labicanus
Lau-	Lao		Laodicensis, Laodicenus, Laomedon, Laomedonteus
Leuc-	Luce	--1	Lucetius
Lub-	Lib		Libentina
Luc-	Loc		Locusta
Lugd-	Lugu	+1	Lugudunum
Lyc-	Luc		Lucomedius
Marsu-	Marsy		Marsyas
Matt-	Mati	--1	Matius
Menenn-	Meneni	--1	Menenius
Ment-	Mint		Minturnae, Minturnensis
Mityl-	Mytil		Mytilenaeus, Mytilenensis
Mosall-	Mosell		Mosellicus
Nabath-	Nabata	--1	Nabataeus
Odiss-	Odyss		Odyssea
Ouf-	Ufe	--1	Ufens, Ufentinus
Pal-	Pal		Palatinus, Palatium
Panorm-	Panhor	+1	Panhormitanus
Pel-	Pae	--1	Paeligni, Paelignus
Plot-	Plau	+1	Plautius
Popl-	Publ		Publicola
