Regillum	                    a
Rex2	     Rēgis
Rumina2	             ficus ~a
Runcus	           Some mythological figure 
Sabine	        In the Sabine language.
Salarianus	             castanea ~a
Sambracenus	             murra ~a
Sardiniensis	           Sardinian.
Sardous	           Sardinian.
Sarmatice	        In the Sarmatian language.
Saronicus	             sinus ~us
Scironius	             saxa ~a
Semo	             ~o Sancus
Seplasia	                     , were sold.
Seruitius	             uinum ~um
Sicanis	           Sicilian.
Sicanius	           Sicilian.
Sicelis	           Sicilian.
Siluana	           a f. counterpart of Siluānus.
Sinopis	           Red ochre found near Sinope.
Sipus	             (?neut.)
Spania	           Spain.
Spartiacus	           Spartan.
Spinther	           A 
Stata	           (also 
Stellas	             campus (ager) ~as
Styx	     Stygis or Stygos
Subballio	           (facetiously coined name for a servant of Ballio, probably with pun on some unidentified word).
Sulla	           Sometimes written 
Sullanus	           Sometimes written 
Sybaritanus	           Belonging to Sybaris.
Synnada	                  a
Syriscus	           Feminine 
Taenarus	                     marble.
Tanagricus	           Produced, reared, etc., in Tanagra.
Tanaiticus	             mare ~um
Taras	            = Tarentum1.
Taratalla	        humorous name derived from Homer 
Taygete	              One of the Pleiads.
Taygetus	                  a
Tepulus	             aqua ~a
Teutoni	           Rarely sg. 
Thebogenes	           Springing from Boeotian Thebes.
Thebris	   old form (probably Etruscan) of Thybris1, Tiberis.
Thelis	            old form of Thetis.
Themistocleus	           Characteristic of Themistocles.
Therodamanteus	           (apparently) Of Therodamas, a Libyan prince who fed his lions on human flesh.
Thessalis	           Thessalian.
Thrace	                = Thrācia.
Thracus	            = Thrācius. 
Thraecia	   see also Thrācia etc.
Thressa	             Thraessa
Thynicus	            = Thȳniacus.
Tigellinus	           C. Oforius Tigellinus (d. ad 69), 
Timoneus	           Appropriate to Timon.
Tingitanus	             provincia ~a
Tisiphone	           One of the Furies.
Titianus	           Named after a Titius.
Titiensis	             tribus ~is
Togatenses	             traiectus ~ium
Tomis2	                    a
Toronaeus	             sinus ~us
Trasumennus	           Forms 
Treueri	              Trēuer
Trinacris	           Sicilian; 
Tritoniacus	           Associated with Tritonia (Athena).
Tyrrhenia	           Etruria.
Tyrrhenicus	            = Tyrrhēnus; especially 
Ualerianus	           Belonging to a Valerius.
Uarus4	                  a
Ubii	              ,   ~a
Uenetus2	             locus ~us
Uertumnus	              a
Uesianus	             opus ~um
Uesuuius	                mons ~us
Uica Pota	     Vicae Potae
Umbricus	           Umbrian.
Uolcanalia	           Forms 
Uoltumna	           (or 
Urbius	             ~us cliuus
absilio	     (also 
acceptator	     (agent noun from 
aequus	      Forms 
agaga	     (vulg.; perhaps) A catamite.
agnomentum	      = agnōmen.
agricolatio	     Agriculture.
agrosius	     (dub.) Possessing land.
ai	     (an expression of grief) Ah! alas!
albus	     according to 
alternabilis	     (conjecture for aeternābilis)
ambrosialis	     ? Ambrosial? Connected with 
an2	       in same sense; 
animaduerto	          N.B.: 
antehac	     hac
apiacon	     (apparently an error for apiacus, for which Cato is Pliny's authority).
apsinthius	      (apparently) var. of apsinthium.
aroscit	     (dub. word, explained as =  πλανᾶται ).
ater	          atrior. 
atterraneus	   (dub.) 
balneum	            Often heteroclite pl. 
barbasculus	           (perhaps) A whippersnapper.
bene	          melius, optime
bolus2	               or 
bos	     bouis
bryonia	            (  alba ~a
cado	     ~ere, cecidī, cāsum
caepaticus	   (  cj.
calamistrum	              in 
calco	             (intr.)
caliculus	           (see also 
calor	             (neut.)
calpar	       (probably) 
caluaria2	     (? ~ium)
cancer1	           also 
carbasus1	               In pl. 
carex	           Reed grass or sedge.
carinarius	     (dub.) ~iī
carino2	               ~ārī
cauium	   (apparently corrupt word in 
caulae	           (  caullae
caullator	           (apparently used comically for 
cedo2	   (  pl. cette
cerceris	           or 
cerno	     ~ere, crēuī, crētum
chartus	            = charta.
chelium	   (s.vv.ll.) 
cieo	     ciēre, cīuī, citum
ciprus	        apparently Sabine = 
circulus	                 trag.
circumago	             (intr.)
circumeo	             (intr.)
circumuector	               ~āre
citer	     ~era, ~erum, citerior, citimus
claro	             (intr.)
claudeo	     ~ēre, clausum
clipeus	                       in 
clutus	           (perhaps word invented to connect Greek κλυτa2 ς with 
codicillus	                 Ep.
cogo	     ~ere, coēgī, coactum
colliquiaria	        (  cj.
collusim	   (dub.) 
colo1	             (intr.)
colossicus	             Comparative (as Greek) ~ōteros
comitor	             (intr.)
committo	             (intr.)
compectum	             conp-
comperio	             conp-
compitum	             conp-
comploro	             (intr.)
comprehendo	             (intr.)
concapit	        dub. word in 
confio	           (collateral with pass. of 
confiteor	             (intr.)
confore	          confutūrus.
conicio	             (intr.)
coniunx	      ~ugis
consocio	             (intr.)
constituo	             (intr.)
consum	   only in forms confore, 
consummo	             (intr.)
contemplo	       and 
continuo2	             (intr.)
contor	   (dub.) 
conuerto	             (intr.)
cops	     cōpis
cor	     cordis
cordax	             (adj.)
cresco	     ~ere, crēuī, crētum
