(h)ari-	harusp		haruspex
-o	r		criminor, cohortor, conuiuor, cunctor, depeculor, depopulor, euagor, exhortor, expergiscor, frustror, imaginor, imitor, insector, insidior, luctor, ludificor, minitor, miseror, moderor, morigeror, moror, mutuor, opitulor, osculor, peruagor, populor, praestolor, proelior, recordor, refragor, reluctor, remuneror, sciscitor, sermonor, suffragor, suspicor, tumultuor, uelitor, ueneror, uociferor, urinor, adueneror, auspicor, auxilior, sauior, percontor
-o	s		Dercetis, silus
-o	o		suboleo
-odium	onium		septizonium
-oe	pi		Arimaspi
-ola	ula		cellula
-olentus	ulentus		pisculentus
-olus	ulus		cliuulus, inuoluulus
-on	um		cinnamum, Sigeum, archetypum, arum
-on	os		Androgeos
-on	to		Aristo
-ona	ana		cottana
-ona	nia		Populonia
-ones	ryon		Geryon
-onēs	ryon		Geryon
-ope	pia		Cassiepia
-opea	epia		Cassiepia
-or	to		oscito, bubulcito, delecto, hieto, molesto, quirito, ructo, adiuto
-or	ro		belligero, commurmuro, elucubro, honoro, munero, murmuro, pigro, admurmuro, auguro
-or	lo		bello, latibulo, pugillo
-or	co		commanduco, fabrico, fatisco, frutico, glisco, labasco, manduco, mendico, nutrico, proco, sacrifico, albico
-or	io		conglacio, luxurio, radio, spolio
-or	no		digno, hiberno, rumino, uermino
-or	po		expalpo, participo
-or	uo		fluctuo
-or	go		indago, aurigo
-or	or		intueor
-oris	ecor		indecor
-oro	ero		pignero
-os	us		choreus, Halicarnasus, Heracleus, amethystus, acephalus, Bithynus, cammarus, catalecticus, chrysocarpus, clymenus, cyanus, Cyprus, dactylus, hendecasyllabus, heroicus, horaeus, hyoscyamus, isodomus, miurus, Molossus, monaulus, monogrammus, Naxus, obolus, Oxus, paliurus, paralius, physicus, Polyphemus, sophisticus, trimetrus, Achelous, adoptiuus, Aeacus, Anacreontius, Aspendius, atauus, atomus, Atticus, autopyrus, iambus, Ionicus
-ossis	exos		exos
-ous	hus		Panthus
-parabilis	perabilis		aequiperabilis
-paro	pero		aequipero
-partito	pertito		quadripertito
-parābilis	perabilis		aequiperabilis
-pertum	partum		antepartum
-plector	mplecto		circumplecto
-plusio	plosio		supplosio
-purigo	rpurgo		perpurgo
-quinus	rcinus		hircinus
-quod	quot		aliquot
-quomque	icumque		quicumque
-quonque	scumque		quotienscumque
-quos	quus		obliquus
-quus	rcus		hircus
-sideo	sedeo		circumsedeo
-sillus	xillus		pauxillus
-sio	tio		intentio
-so	uo		exdorsuo
-spargo	spergo		circumspergo
-tae	tes		Aegates
-taria	teria		Pandateria
-taria	iaria		ratiaria
-tarius	iarius		ratiarius
-tensimus	ntesimus		quadringentesimus
-ter	ter		sequester
-tia	tea		Necyomantea
-tor	rto		praeuerto
-truo	ryon		Amphitryon
-uclus	culus		pediculus
-uculus	iculus		pediculus, anniculus
-uersum	uersus		quoquouersus
-ulter	liter		difficiliter
-um	on		chalcanthon
-um	us		quoqueuersus, retrouersus
-um	te		Tergeste
-um	ta		armamenta
-umus	imus		septimus
-uorsum	uersus		quoquouersus
-us	um		costum, deorsum, dextrorsum, Misenum, aeuum
-us	lu		gelu
-us	is		bisulcis, cannabis, elumbis, eneruis, exanimis, glanis, inermis, infrenis, interpolis, procliuis, sublimis, torris, forctis
-us	ur		camur
-us	os		cissanthemos, Otos, acrolithos, Arctos, Atheos
-us	iu		diu
-us	nu		genu
-us	us		Numicius, Oedipus, pinus
-us	uo		pauo
-uza	ssa		obrussa
-yr	ur		Astur
-ys	us		Phorcus
-ā	a		Argia
-āna	ena		Athena
-ātis	enas		Capenas
-ē	a		Clytia, Dodona, Eriphyla, Europa, exagoga, geometrica, grammatica, Helena, Hersilia, Hesiona, Hippolyta, Ida, Iliona, Laconica, Leda, Leucata, Libya, mathematica, Melita, musica, parabola, Pella, phoca, Phthia, pinacotheca, poetica, Polyxena, Prochyta, Samothraca, Sparta, stacta, stela, symbola, Urania, Aeaea, Aetna, amygdala, Ariadna, arithmetica, Atalanta, Hippodamia, pyrricha, schola, Hypermestra
-ēa	ia		Seleucia, Antiochia
-ēbēs	lebs		plebs
-ēn	io		Anio
-ēos	eus		Alpheus
-ēs	ae		druidae
-ēs	ia		duritia, maceria, materia, militia, mollitia, munditia, notitia, pigritia, segnitia, spurcitia, tristitia
-ēs	ni		Edoni
-ēs	la		hydraula
-ēs	ta		Nabata
-ēs	as		Pantagias
-ēs	ci		Triboci
-ēs	is		Aeolis
-ēs	es		Apelles
-ēs	ea		Tegea
-ēs	us		Uologesus
-ēum	ium		glaucium
-ēus	eus		Cydonaeus
-ēus	ius		Antiochius
-īa	ea		Achillea
-īn	is		Salamis
-īos	eus		Peneus
-īum	eum		alcyoneum, Amaltheum
-īus	eus		Carneadeus, Democriteus, Diomedeus, Homereus, Lyrceus, spondeus
-īī	ei		Aristarchei
-ō	r		cohortor, conuiuor, cunctor, depeculor, depopulor, euagor, exhortor, frustror, imaginor, insector, insidior, luctor, ludificor, minitor, miseror, moderor, morigeror, moror, mutuor, opitulor, osculor, peruagor, populor, praestolor, proelior, recordor, refragor, reluctor, remuneror, sciscitor, sermonor, suffragor, suspicor, tumultuor, uelitor, ueneror, uociferor, urinor, auspicor, auxilior, sauior, percontor
-ō	s		Dercetis, silus
-ō	o		suboleo
-ōn	os		Androgeos
-ūs	iu		diu
Acch-	Ache		Acheruns, Acherunticus, Acherusius
Adr-	Had		Hadria, Hadrianus, Hadriaticus
Aefl-	Aefu		Aefulanus
Agr-	Acr		Acragantinus, Acragas
Agragant-	Agrigent		Agrigentini
Aim-	Aem		Aemilianus, Aemilius
Amunc-	Amync		Amynclanus
Amycl-	Amync		Amynclae
App-	Ape		Apenninicola, Apenninigena, Apenninus, Apenninus
App-	Apu		Apulia, Apulus
Ario-	Areo		Areopagites
Athl-	Atla		Atlanticus
Att-	Acc		Accius
Auel-	Abel		Abellanus
Bale-	Bali		Baliaricus, Baliaris
Bebr-	Bedr		Bedriacus
Beron-	Beren		Berenice
Betr-	Bedr		Bedriacensis, Bedriacum
Bub-	Byb		Byblos
Caele-	Caeli		Caelimontanus
Caer-	Cere		Cerealicius, Cerealis
Calid-	Calyd		Calydonius
Camal-	Camul		Camulodunum
Caphar-	Capher		Caphereus, Caphereus
Capra-	Capro		Caprotina
Cass-	Casi		Casinas
Ceri-	Cere		Cerealis
Ceu-	Ceb		Cebenna
Chalc-	Calch		Calchedonensis
Cibu-	Ciby		Cibyrates
Clu-	Clo		Cloacina
Cocul-	Cocle		Cocles
Compet-	Compit		Compitalis
Conl-	Coll		Collatia
Conp-	Comp		Compitalia, Compitalicius, Compitalis
Conseu-	Consiu		Consiuius
Culm-	Colm		Colminius
Cup-	Cyp		Cyprigenia
Curr-	Curi		Curitis
Cygn-	Cycn		Cycneis
Cyp-	Cip		Ciprius
Delm-	Dalm		Dalmatia, Dalmaticus
Diuit-	Diuic		Diuiciacus
Duel-	Duil		Duillius
Duell-	Bello		Bellona
Durra-	Dyrrh		Dyrrhachinus, Dyrrhachium
Ericth-	Ericht		Erichthonius, Erichthonius
Euhad-	Euadn		Euadne
Fac-	Fag		Fagutalis
Fac-	Pha		Phacelinus
Far-	Pha		Phariacus
Ferent-	Frenta		Frentani
Ficol-	Ficul		Ficulensis
Fil-	Phi		Philippus
Fin-	Phi		Phineius
For-	Fur		Furrina
Furn-	Forn		Fornacalia
Gall-	Call		Callaecia, Callaecus
Genu-	Ceno		Cenomani
Germ-	Cerm		Cermalensis, Cermalus
Get-	Gae		Gaetulus
Gn-	Cn		Cnidos
Haed-	Aedu		Aedui
Hale-	Hala		Halaesus
Hil(l)ur-	Illyricu		Illyricus
Hil-	Ill		Illyricum
Hord-	Ford		Fordicidia
Iapu-	Iapy		Iapydes, Iapydia
Iazu-	Iazy		Iazyges
Idy-	Idu		Idumaeus, Idume
Ipp-	Hip		Hippolytus
Irp-	Hir		Hirpinus
Ityr-	Itur		Ituraei, Ituraeus
Kar-	Car		Carthaginiensis, Carthago
Lacet-	Laeet		Laeetania, Laeetanus
Lalet-	Laeet		Laeetania, Laeetanus
Lat-	Let		Letois, Letoius, Letous
Lau-	Lab		Labicanus
Lau-	Lao		Laodicensis, Laodicenus, Laomedon, Laomedonteus
Leuc-	Luce		Lucetius
Lub-	Lib		Libentina
Luc-	Loc		Locusta
Lugd-	Lugu		Lugudunum
Lyc-	Luc		Lucomedius
Marsu-	Marsy		Marsyas
Matt-	Mati		Matius
Menenn-	Meneni		Menenius
Ment-	Mint		Minturnae, Minturnensis
Mityl-	Mytil		Mytilenaeus, Mytilenensis
Mosall-	Mosell		Mosellicus
Nabath-	Nabata		Nabataeus
Odiss-	Odyss		Odyssea
Ouf-	Ufe		Ufens, Ufentinus
Pal-	Pal		Palatinus, Palatium
Panorm-	Panhor		Panhormitanus
Pel-	Pae		Paeligni, Paelignus
Plot-	Plau		Plautius
Popl-	Publ		Publicola
Populi-	Poplif		Poplifugia
Ramn-	Rham		Rhamnusius
Rham-	Ramn		Ramnes
Rheg-	Regi		Reginus, Regium
Rhi-	Rip		Ripaeus
Rod-	Rau		Raudusculana
Rod-	Rho		Rhodiensis, Rhodius, Rhodus
Romul-	Romil		Romilius
Rud-	Rau		Raudusculana
Sam-	Sem		Semiramis
Sar-	Ser		Serapio, Serapis
Saur-	Sora		Soracte
Sic-	Sug		Sugamber
Sig-	Sug		Sugamber
Sipunt-	Sipont		Sipontinus
Sisp-	Sosp		Sospita
Summ-	Subm		Submemmianus
Syc-	Sug		Sugamber
Syg-	Sug		Sugamber
Tam-	Tom		Tomyris
Ter-	Tir		Tiresias
Thal-	Tala		Talassius
Tham-	Tomy		Tomyris
Theo-	Thei		Theiodamas
Thio-	Thei		Theiodamas
Threc-	Thrae		Thraecidicus
Toloss-	Tolosa		Tolosanus
Treuir-	Treuer		Treuericus
Trogl-	Trogo		Trogodytae, Trogodyticus, Trogodytis
Virdu-	Uirid		Uiridomarus
Vlis-	Olis		Olisipo
Xers-	Xerx		Xerxes
abb-	adb		adbibo
abf-	afl		afluo
abs-	aps		apsinthites, apsinthium, apsinthius
accers-	arcess		arcessitor, arcessitus
acu-	aqu		aquarius
acula aquu-	aquola		aquola
ad(g)n-	agnosc		agnosco
ad-	ac		accedo
adc-	acc		accommodate, accumulate, accurate, acceleratio, accelero, accessio, accessus, acclamatio, acclamo, acclaro, acclinis, acclino, accliuis, accliuitas, accognosco, accola, accolo, accommodatio, accommodatus, accommodo, accommodus, accredo, accresco, accretio, accretus, accubitio, accubitus, accubo, accudo, accumbo, accumulatio, accumulator, accumulo, accuratio, accuratus, accuro, accurro, accursus
adf-	aff		affabiliter, affabre, affirmate, affluenter, affaber, affabilis, affabilitas, affamen, affatus, affectatio, affectator, affectio, affecto, affectus, affectus, affero, afficio, afficticius, affigo, affiguro, affingo, affinis, affinis, affinitas, affirmatio, affirmator, affirmo, affixa, afflatus, afflecto, affleo, afflexus, afflictatio, afflicto, afflictor, afflictrix, afflictus, afflictus, affligo, afflo, affluens, affluentia, affluo, affodio, affor, afformido, affrango, affremo, affrico, affrictus, affrio, affulgeo, affundo
adg-	agg		aggemo, aggero, aggestus, agglomero, agglutino, aggrauesco, aggrauo, aggredior, aggrego, aggressio, aggressor, aggressura, aggressus, agguberno
adgn-	agna		agnata, agnatio, agnatum, agnatus
adgn-	agni		agnitus
adgn-	agno		agnomen, agnomentum
adl-	all		allabor, allaboro, allacrimo, allambo, allapsus, allatro, allaudabilis, allaudo, allauo, allectatio, allecto, allector, allegatio, allegatus, allego, allego, alleuamentum, alleuatio, alleuo, alleuo, allicefacio, allicio, allido, alligatio, alligator, alligatura, alligo, allino, alliuesco, allocutio, alloquium, alloquor, allubentia, alluceo, alluctor, alludio, alludo, alluo, alluuies, alluuio
adol-	adul		adulescens, adulescentia
adp-	app		apparate, appetenter, apposite, apprime, approbe, apparatio, apparator, apparatorium, apparatus, apparatus, apparens, appareo, appario, apparitio, apparo, appello, appello, appendo, appetens, appetentia, appetibilis, appetisso, appetitio, appetitus, appeto, appiciscor, appingo, applausus, applicatio, applicatus, applicitus, applico, apploro, applumbator, applumbo, appono, apporrectus, apportatio, apporto, appositus, appotus, apprecor, apprehendo, apprenso, apprimo, apprimus, approbatio, approbator, approbo, approbus, appromissor, appromitto, approno, appropero, appropinquatio, appropinquo, appugno, appulsus
adp- applodo	app		applaudo
adq-	acq		acquiesco, acquiro, acquisitio, acquisitrix, acquisitus
adr-	arr		arrepo, arrideo, arrigo, arripio, arrisio, arrisor, arrodo, arrogans, arroganter, arrogantia, arrogatio, arrogator, arrogo, arrosor, arruo
ads-	ass		assecue, assentatorie, asseuerate, assiduo, assimiliter, assimulanter, assudesco, assultim, assectatio, assectator, assector, assensio, assensor, assensus, assentatio, assentatiuncula, assentator, assentio, assentior, assentor, assequor, assero, assero, assertio, assertor, asseruio, asseruo, assessio, assessor, assessura, assestrix, asseueranter, asseueratio, asseuero, assibilo, assiccesco, assicco, assideo, assido, assidue, assiduitas, assiduus, assignatio, assignator, assignifico, assigno, assilio, assimilis, assimulatio, assipio, assisto, assitus, associo, assoleo, assono, assubrigo, assuefacio, assuesco, assuetudo, assuetus, assugo, assulto, assultus, assumo, assumptio, assumptiuus, assuo, assurgo, assuscipio, assuspiro
ads-	asc		ascensus, ascio, ascisco, ascribo, ascripticius, ascriptio, ascriptiuus, ascriptor
ads-	asp		aspectus, aspicio, aspiramen, aspiratio, aspuo
ads-	ast		astator, asterno, astipulatio, astipulator, astipulatus, astipulor, astituo, asto, astrepo, astricte, astrictio, astrictorius, astrictus, astringo, astruo, astupeo
ads- assecla	ass		assecula
adsc-	asce		ascendo
adt-	att		attemperate, atterraneus, attactus, attempero, attendo, attente, attentus, attenuatio, attenuo, attero, attestatio, attestatus, attestor, attexo, attibernalis, attineo, attingo, attollo, attondeo, attonitus, attono, attorqueo, attractus, attraho, attrectatio, attremo, attrepido, attribuo, attributio, attritus, attritus, attumulo, attuor
adt- attento	att		attempto
adt- attracto	att		attrecto
aduerto -uorto	angu		animaduerto
adul-	adol		adolesco
aduor-	aduer		aduerto
